en,pt-br
slide,deslizar
sharp,afiado
cycle,ciclo
pose,pose
phase,Estágio
transition,transição
reduction,redução
negotiation,negociação
manufacturer,fabricante
quote,citar
deserve,merecer
sale,oferta
layer,camada
wedding,Casamento
discovery,descoberta
mine,minha
academy,Academia
sand,areia
missile,míssil
elect,eleger
climate,clima
participation,participação
knife,faca
atmosphere,atmosfera
joke,Piada
urge,impulso
ordinary,comum
visual,visual
numerous,numeroso
occasion,ocasião
philosophy,filosofia
suicide,suicídio
shall,deve
glad,alegre
goods,bens
moreover,além disso
coat,casaco
consistent,consistente
alcohol,álcool
opposite,oposto
cop,policial
universe,universo
breathe,respirar
practical,prático
therapy,terapia
racial,racial
elsewhere,em outro lugar
rarely,raramente
essentially,essencialmente
discipline,disciplina
reply,responder
Mexican,mexicano
passion,paixão
tale,conto
dust,pó
kiss,beijo
iron,ferro
independence,independência
Spanish,Espanhol
advance,avançar
pot,Panela
potato,batata
motor,motor
pack,pacote
dominate,dominar
marketing,marketing
disaster,desastre
exposure,exposição
complaint,reclamação
cap,boné
congressional,Congresso
jacket,jaqueta
intense,intenso
impose,impor
electric,elétrico
implement,implemento
enforcement,execução
analyze,analisar
retire,se aposentar
deficit,déficit
emphasis,ênfase
concentrate,concentrado
accomplish,concluir
previously,anteriormente
symbol,símbolo
bureau,escritório
laboratory,laboratório
attach,anexar
fundamental,fundamental
whenever,em qualquer momento
arrangement,arranjo
investigator,investigador
shock,choque
adjust,ajustar
employer,Empregador
visible,visível
priest,padre
volunteer,voluntário
interpretation,interpretação
entertainment,entretenimento
habit,hábito
illustrate,ilustrar
equally,igualmente
prospect,Prospect
enhance,realçar
severe,forte
monitor,monitor
amazing,incrível
poverty,pobreza
increasing,aumentando
boss,chefe
inspire,inspirar
anger,raiva
heavily,pesadamente
parking,estacionamento
print,imprimir
maker,criador
involvement,envolvimento
queen,rainha
gene,gene
vary,variar
approximately,aproximadamente
gallery,galeria
evaluate,Avalie
transfer,transferir
usual,usual
mystery,mistério
entry,entrada
mood,humor
bean,feijão
objective,objetivo
capable,capaz
constant,constante
substance,substância
strongly,fortemente
exception,exceção
commander,comandante
spending,gastar
crucial,crucial
acre,Acre
wire,arame
command,comando
nervous,nervoso
so-called,assim chamado
competitive,competitivo
Asian,Asiático
tower,torre
veteran,veterano
creature,criatura
smoke,fumaça
Arab,árabe
prince,Principe
alliance,aliança
transportation,transporte
luck,sorte
symptom,sintoma
bury,enterrar
clinic,consultório
illness,doença
championship,campeonato
prisoner,prisioneiro
reputation,reputação
edition,edição
juice,suco
sauce,molho
peak,pico
confront,enfrentar
breakfast,café da manhã
recognition,reconhecimento
smell,cheiro
ally,aliado
pure,puro
toy,brinquedo
salary,salário
electronic,eletrônico
bathroom,banheiro
surely,certamente
psychological,psicológico
evaluation,avaliação
dimension,dimensão
personnel,pessoal
belt,cinto
accompany,acompanhar
implication,implicação
album,álbum
perfectly,perfeitamente
jet,jato
hello,olá
relative,relativo
tourist,turista
phenomenon,fenômeno
fellow,companheiro
toss,sorteio
publication,publicação
nearby,próximo
consideration,consideração
holy,piedosos
enterprise,empreendimento
inner,interno
pray,rezar
creek,Riacho
boot,bota
whisper,sussurrar
resist,resistir
journey,jornada
flag,bandeira
disorder,transtorno
designer,Designer
literally,literalmente
apparent,aparente
permanent,permanente
angle,ângulo
smooth,suave
unlike,diferente
tablespoon,colher de sopa
consultant,consultor
twin,gêmeo
favor,Favor
throat,garganta
construct,construir
birthday,aniversário
swing,balanço
supporter,apoiador
testing,teste
reasonable,razoável
mail,correspondência
silver,prata
retirement,aposentadoria
sensitive,confidencial
gentleman,cavalheiro
navy,marinha
terrorism,terrorismo
occasionally,ocasionalmente
glance,olhar
observer,observador
constantly,constantemente
bind,ligar
wet,molhado
dig,escavação
quit,Sair
digital,digital
vs,vs.
assist,assistência
employment,emprego
suggestion,sugestão
rapidly,rapidamente
embrace,abraçar
junior,júnior
stomach,estômago
extreme,extremo
recovery,recuperação
negotiate,negociar
impression,impressão
wage,remuneração
fifth,quinto
FALSE,FALSO
pink,rosa
absence,ausência
aggressive,agressivo
corn,milho
mixture,mistura
substantial,substancial
grandmother,avó
quietly,silenciosamente
jail,cadeia
specialist,especialista
dealer,distribuidor
poem,poema
butter,manteiga
conventional,convencional
pace,ritmo
intention,intenção
peer,par
restore,restaurar
wooden,de madeira
criticize,criticar
nevertheless,mesmo assim
approval,aprovação
historic,histórico
secure,seguro
preparation,preparação
Latin,Latim
lord,senhor
teaspoon,colher de chá
musical,musical
weigh,pesar
pan,frigideira
assure,assegurar
viewer,espectador
arise,surgir
administrator,administrador
immigration,imigração
honest,honesto
origin,origem
giant,gigante
diversity,diversidade
tomato,tomate
advise,conselho
biological,biológico
shell,Concha
essay,ensaio
historian,historiador
deputy,deputado
effectively,efetivamente
buck,bode
tube,tubo
refugee,refugiado
depth,profundidade
flat,apartamento
precisely,precisamente
mad,louco
disability,incapacidade
destruction,destruição
assumption,suposição
normally,normalmente
angel,anjo
pop,pop
criteria,critério
minor,menor
crop,colheita
barrier,barreira
assign,atribuir
elementary,elementar
valuable,de valor
testimony,testemunho
stake,estaca
concert,show
label,etiqueta
routine,rotina
wealth,fortuna
gang,gangue
incorporate,incorporar
brand,marca
recipe,receita
vacation,período de férias
utility,Utilitário
satellite,satélite
extraordinary,extraordinário
ultimate,final
chemical,químico
advocate,advogado
educator,educador
cake,bolo
phrase,frase
yell,gritar
personally,pessoalmente
respondent,respondente
Palestinian,palestino
classic,clássico
snap,foto
via,através da
lawsuit,processo
install,instalar
sweep,varrer
festival,festival
draft,rascunho
heaven,paraíso
switch,trocar
activist,ativista
ceiling,teto
clock,relógio
aunt,tia
darkness,Trevas
daddy,papai
royal,real
advertising,publicidade
rough,rude
pregnant,grávida
penalty,pena
distant,distante
developing,em desenvolvimento
yield,colheita
armed,armado
mechanism,mecanismo
rank,classificação
killer,assassino
fence,cerca
universal,universal
terror,terror
wolf,lobo
anxiety,ansiedade
found,encontrado
protein,proteína
engineering,Engenharia
clothing,confecções
proceed,Continuar
fiber,fibra
react,reagir
spin,rodar
roughly,aproximadamente
drama,drama
liberty,liberdade
ingredient,ingrediente
hip,quadril
provision,provisão
burden,fardo
teen,adolescente
survival,sobrevivência
unlikely,improvável
Italian,italiano
chamber,câmara
lost,perdido
communicate,comunicar
stupid,estúpido
bet,aposta
Muslim,muçulmano
bell,Sino
onion,cebola
disagree,discordar
encounter,encontro
constitutional,constitucional
cabinet,gabinete
remarkable,notável
broken,quebrado
latter,último
overcome,superar
virus,vírus
stranger,desconhecido
retain,reter
prize,prêmio
string,corda
exhibition,exibição
expansion,expansão
tremendous,tremendo
bunch,monte
assistant,assistente
initially,inicialmente
accurate,exato
cheek,bochecha
index,índice
occupy,ocupar
gear,engrenagem
guarantee,garantia
chocolate,chocolate
ceremony,cerimônia
button,botão
shopping,Shopping
dispute,disputa
furniture,mobiliário
marine,marinho
statistics,Estatisticas
Olympic,olímpico
wipe,limpar
spokesman,porta -voz
super,super
Islamic,islâmico
translate,traduzir
interpret,interpretar
testify,testemunhe
cooperation,cooperação
friendly,amigáveis
profile,perfil
pants,calça
whereas,enquanto
elite,elite
port,porta
complicated,complicado
cousin,prima
strategic,estratégico
terrorist,terrorista
chart,gráfico
drawing,desenho
gently,suavemente
odd,ímpar
incentive,incentivo
innocent,inocente
imply,implicar
stadium,estádio
scenario,cenário
shooting,filmagem
blind,cego
assembly,conjunto
withdraw,retirar o
strip,faixa
lover,amante
mainly,principalmente
aircraft,Aeronave
newly,recentemente
ideal,ideal
dirt,sujeira
boundary,fronteira
resort,recorrer
genetic,genético
concentration,concentração
naturally,naturalmente
ministry,ministério
surprising,surpreendente
adviser,conselheiro
recommendation,recomendação
similarly,similarmente
justify,justificar
wildlife,animais selvagens
bench,banco de sentar
bullet,bala
mode,modo
champion,campeão
dismiss,dispensar
deck,área coberta
lifetime,vida
extensive,extenso
attractive,atraente
politically,politicamente
regularly,regularmente
raw,cru
fault,culpa
clinical,clínico
detect,detectar
considerable,considerável
working,trabalhando
partly,parcialmente
platform,plataforma
remote,controlo remoto
fortune,fortuna
slave,escravo
delivery,Entrega
reflection,reflexão
relevant,relevante
unknown,desconhecido
pause,pausa
tissue,tecido
sink,afundar
counter,contador
Bible,Bíblia
license,licença
tragedy,tragédia
dialogue,diálogo
mutual,mútuo
loose,solto
external,externo
pride,orgulho
awareness,conhecimento
electricity,eletricidade
diverse,diversificado
advanced,Avançado
faster,mais rápido
online,conectados
assault,assalto
shortly,Em breve
finance,finança
originally,originalmente
founder,fundador
characterize,caracterizar
protest,protesto
pole,pólo
intellectual,intelectual
communist,comunista
infection,infecção
controversy,controvérsia
freeze,congelar
portrait,retrato
proof,prova
satisfaction,satisfação
insight,entendimento
headquarters,quartel general
stair,escada
crash,batida
constitute,constituir
thirty,trinta
alter,alterar
sudden,repentino
potentially,potencialmente
dirty,sujo
evolve,evoluir
teenager,adolescente
violation,violação
joy,alegria
possess,possuir
hurricane,furacão
offense,ofensa
relax,relaxar
mount,montar
treaty,tratado
prior,anterior
memorial,memorial
establishment,estabelecimento
tap,toque
swim,nadar
properly,devidamente
gulf,golfo
tongue,língua
salad,salada
shelter,abrigo
correspondent,correspondente
introduction,introdução
funeral,funeral
literary,literário
convert,converter
violate,violar
rub,esfregar
entrance,Entrada
episode,episódio
tournament,torneio
vital,vital
stable,estábulo
split,dividir
representation,representação
fiction,ficção
lane,faixa
distinction,distinção
segment,segmento
comprehensive,compreensivo
confident,confiante
prominent,proeminente
presentation,apresentação
net,internet
squeeze,espremer
tobacco,tabaco
significance,significado
imagination,imaginação
pretend,fingir
mere,mero
fade,desvaneça
steady,estável
nowhere,lugar algum
variation,variação
radical,radical
adventure,aventura
profession,profissão
exciting,excitante
fate,destino
regardless,sem considerar
load,carregar
singer,cantor
distribute,distribuir
ton,tonelada
instance,instância
affiliation,afiliação
hunting,Caçando
pale,pálido
poet,poeta
gradually,gradualmente
partnership,parceria
capability,capacidade
Canadian,canadense
tech,tecnologia
commerce,comércio
grandfather,Vô
bake,assar
shelf,prateleira
honey,querida
round,redondo
flee,fugir
adapt,adaptar
buyer,comprador
divorce,divórcio
defensive,defensiva
bombing,bombardeio
scared,assustada
gesture,gesto
poetry,poesia
reserve,reserva
satisfy,satisfazer
pollution,poluição
lawn,grama
depending,dependendo
wisdom,sabedoria
comfort,conforto
plot,enredo
vulnerable,vulnerável
explosion,explosão
tail,rabo
differ,diferir
sustain,sustentar
stability,estabilidade
fantasy,fantasia
obligation,obrigação
God,Deus
bike,bicicleta
dining,jantar
custom,personalizadas
ill,doente
celebrity,celebridade
leather,couro
given,dado
framework,estrutura
owe,dever
slight,pouco
tendency,tendência
crack,rachadura
briefly,brevemente
derive,derivar
speaker,palestrante
scandal,escândalo
fifteen,quinze
scheme,esquema
jazz,jazz
elderly,idoso
celebration,celebração
evolution,evolução
fighter,lutador
publicly,publicamente
trace,vestígio
rid,livrar
detective,detetive
limitation,limitação
besides,além do mais
soup,sopa
oven,forno
rapid,rápido
chase,correr atrás
sophisticated,sofisticado
tribe,tribo
pipe,cano
deer,cervo
illustration,ilustração
mm-hmm,mm-hmm
uniform,uniforme
transmission,transmissão
storage,armazenar
pile,pilha
survivor,sobrevivente
resemble,assemelhar -se
incredible,incrível
impress,impressionar
economist,economista
efficient,eficiente
fifty,cinquenta
shade,sombra
opera,ópera
calculate,calcular
preference,preferência
guideline,diretriz
consume,consumir
maintenance,manutenção
formation,formação
glove,luva
scholarship,Bolsa de estudo
educate,educar
proportion,proporção
appointment,compromisso
conviction,convicção
myth,mito
solar,solar
vessel,embarcação
wealthy,próspero
friendship,amizade
membership,Filiação
craft,arte
qualify,qualificar
earnings,ganhos
asleep,dormindo
porch,varanda
controversial,controverso
painful,doloroso
congressman,Congressista
mama,Mama
infant,infantil
cow,vaca
proposed,proposto
sufficient,suficiente
oak,carvalho
mall,Shopping
punishment,punição
helpful,útil
ongoing,em progresso
admission,admissão
frequency,frequência
ratio,Razão
delay,atraso
privacy,privacidade
trick,truque
etc,etc.
circuit,o circuito
musician,músico
sue,processar
aide,assessor
modest,modesto
helicopter,helicóptero
empire,Império
detailed,detalhado
efficiency,eficiência
humor,humor
sanctions,sanções
badly,seriamente
tennis,tênis
emission,emissão
desperate,desesperado
garlic,alho
contest,concurso
strengthen,fortalecer
demonstration,demonstração
restriction,restrição
Irish,irlandês
hunter,caçador
standing,de pé
handful,punhado
explode,explodir
prompt,pronto
absorb,absorver
eager,ansioso
temporary,temporário
commissioner,comissário
diamond,diamante
curious,curioso
differently,diferentemente
reservation,reserva
downtown,centro da cidade
adjustment,ajustamento
composition,composição
tiger,tigre
fabric,tecido
assert,afirmar
discrimination,discriminação
float,flutuador
math,matemática
overlook,negligenciar
corps,corpo
sequence,seqüência
heel,salto
successfully,com sucesso
examination,exame
horizon,horizonte
absolute,absoluto
anticipate,antecipar
yours,Sua
dominant,dominante
bull,touro
prevention,prevenção
meter,metro
legitimate,legítimo
mask,mascarar
bite,morder
stroke,derrame
assignment,atribuição
lion,leão
rifle,rifle
brilliant,brilhante
appoint,nomear
boom,estrondo
naked,nu
hungry,com fome
tight,apertado
flame,chama
economics,Economia
cabin,cabine
orange,laranja
wander,perambular
taxpayer,contribuinte
romantic,romântico
devote,dedicar
inflation,inflação
furthermore,além do mais
pine,pinho
agriculture,agricultura
legacy,legado
extension,extensão
barrel,barril
arrival,chegada
register,registro
flavor,sabor
versus,contra
flesh,carne
submit,enviar
garage,garagem
cotton,algodão
operator,operador
nut,porca
blade,lâmina
girlfriend,Namorada
dependent,dependente
carbon,carbono
heritage,herança
organic,orgânico
ambassador,embaixador
invasion,invasão
summit,cume
lifestyle,estilo de vida
agricultural,agrícola
shrug,dar de ombros
counsel,conselho
distinguish,distinguir
menu,cardápio
awful,horrível
wound,ferimento
manufacturing,fabricação
consumption,consumo
permission,permissão
twelve,doze
offensive,ofensiva
shower,banho
collapse,colapso
undergo,submeter-se a
consciousness,consciência
frustration,frustração
operating,operativo
ease,facilidade
carrier,operadora
scope,alcance
grain,grão
distinct,distinto
ranch,rancho
workshop,oficina
auto,auto
publisher,editor
narrator,narrador
brush,escovar
ban,banimento
portray,retratar
fighting,brigando
borrow,pedir emprestado
seize,aproveitar
psychology,psicologia
subsequent,subseqüente
exceed,ultrapassarem
killing,matando
deadline,data limite
athletic,Atlético
wise,sábio
medication,medicamento
repeatedly,repetidamente
frequent,freqüente
rocket,foguete
fame,fama
lung,pulmão
depict,representar
persuade,persuadir
tent,barraca
ah,Ah
motivation,motivação
odds,chances
worried,preocupado
principal,diretor
ugly,feio
adequate,adequado
nonetheless,Não obstante
widespread,difundido
transformation,transformação
physically,fisicamente
provider,fornecedor
admire,admirar
headline,título
miracle,milagre
institutional,institucional
homeless,sem teto
impressive,impressionante
chef,chefe de cozinha
tactic,Tática
measurement,medição
identification,identificação
province,província
moderate,moderado
consensus,consenso
lovely,encantador
comedy,comédia
shore,costa
photographer,fotógrafo
venture,risco
competitor,concorrente
nomination,nomeação
confusion,confusão
attribute,atributo
horror,Horror
orientation,orientação
weekly,semanalmente
legislature,legislatura
basket,cesta
continued,contínuo
blanket,cobertor
eagle,águia
changing,mudando
mouse,rato
ethics,ética
ghost,fantasma
everyday,todo dia
rope,corda
formula,Fórmula
exhibit,Exibir
nerve,nervo
cope,lidar
running,corrida
psychologist,psicólogo
acid,ácido
pet,bicho de estimação
pitch,tom
occupation,ocupação
courage,coragem
defeat,derrota
pregnancy,gravidez
actress,atriz
patch,correção
margin,margem
reinforce,reforçar
collective,coletivo
brick,tijolo
script,roteiro
cooking,cozinhando
tunnel,túnel
concrete,concreto
recruit,recrutar
grocery,mercado
lemon,limão
dare,Ouse
exact,exato
battery,bateria
surprisingly,surpreendentemente
artistic,artístico
shit,merda
indication,indicação
cookie,bolacha
intensity,intensidade
dramatically,dramaticamente
piano,piano
concerning,relativo
lap,colo
inquiry,investigação
discourse,discurso
laughter,risada
anniversary,aniversário
telescope,telescópio
swear,jurar
charity,caridade
clue,dica
grave,cova
narrative,narrativa
hypothesis,hipótese
upset,chateado
acceptable,aceitável
couch,sofá
defendant,réu
compose,compor
ballot,voto
related,relacionado
cluster,conjunto
pie,torta
recording,gravação
rail,trilho
decrease,diminuir
rape,estupro
interrupt,interromper
architect,arquiteto
sigh,suspirar
remark,observação
invent,inventar
prescription,prescrição
reward,recompensa
sacred,sagrado
organ,órgão
abroad,fora do país
devil,diabo
dear,caro
superior,superior
greatly,muito
airplane,avião
habitat,habitat
coal,carvão
soccer,futebol
entitle,direito
instructor,instrutor
integrity,integridade
shine,brilhar
mess,bagunça
norm,norma
allegation,alegação
pill,comprimido
pleased,satisfeito
plain,avião
inspector,Inspetor
forum,fórum
powder,em pó
sin,pecado
evident,evidente
sponsor,patrocinador
acceptance,aceitação
prosecution,acusação
cognitive,cognitivo
presidency,presidência
magic,Magia
northwest,noroeste
regulate,regular
exclude,excluir
colonial,colonial
rent,aluguel
civilian,civil
harbor,Porto
estimated,estimado
rhythm,ritmo
midnight,meia-noite
counselor,conselheiro
highlight,realçar
palace,Palácio
trading,negociação
compound,composto
bare,nu
echo,eco
integrate,integrar
slice,fatiar
combat,combate
medium,médio
log,registro
surgeon,cirurgião
excuse,com licença
ritual,ritual
resign,demitir-se
excited,animado
lightly,levemente
evil,mal
bitter,amargo
export,exportar
clay,argila
logic,lógica
virtue,virtude
container,recipiente
quarterback,quarterback
beg,implorar
salmon,salmão
greet,saudar
curve,curva
mill,moinho
closet,armário
interior,interior
rod,Cajado
candy,doce
restrict,restringir
initiate,iniciar
reverse,marcha ré
ethical,ético
secondary,secundário
administrative,administrativo
confuse,confundir
deadly,mortal
pig,porco
suburban,suburbano
medal,medalha
receiver,receptor
gaze,olhar
snake,cobra
march,março
experimental,experimental
civilization,civilização
classical,clássico
fold,dobrar
weakness,fraqueza
corridor,corredor
harsh,severo
retail,retalho
mortgage,hipoteca
harder,mais difícil
developer,desenvolvedor
legend,lenda
excitement,excitação
enforce,aplicar
occasional,ocasional
cowboy,vaqueiro
minimum,mínimo
flash,instantâneo
reliable,confiável
suburb,subúrbio
melt,fundição
contend,competir
plead,implorar
written,escrito
flood,enchente
stem,tronco
inevitable,inevitável
essence,essência
pitcher,jarro
subtle,sutil
slam,bater
unemployment,desemprego
trunk,porta-malas
privilege,privilégio
burst,explodido
architecture,arquitetura
monthly,por mês
render,renderizar
mainstream,convencional
frankly,francamente
obstacle,obstáculo
motivate,motivar
trap,armadilha
drinking,bebendo
elbow,cotovelo
rumor,rumor
swallow,engolir
legislative,legislativo
lecture,palestra
jeans,jeans
duck,pato
slope,declive
t-shirt,camisa
inspection,inspeção
strict,rigoroso
overwhelming,muito pesado
assemble,montar
missing,ausência de
seemingly,aparentemente
fraud,fraude
implementation,implementação
hunt,caçar
boyfriend,namorado
integration,integração
rat,rato
broadcast,transmissão
Korean,coreano
nail,unha
pen,caneta
consult,consultar
companion,companheiro
monster,monstro
nightmare,pesadelo
beef,carne
serving,servir
globe,globo
cholesterol,colesterol
parliament,parlamento
suite,suíte
continuing,continuando
hence,por isso
lend,emprestar
sixth,sexto
mud,lama
pump,bombear
flour,farinha
hostage,refém
ownership,propriedade
facilitate,facilitar
basement,porão
correlation,correlação
hurry,pressa
insect,inseto
arena,arena
drift,deriva
domain,domínio
cave,caverna
African-American,Afro-americano
consistently,consistentemente
leap,salto
effectiveness,eficácia
maximum,máximo
array,variedade
unexpected,inesperado
curtain,cortina
sandwich,sanduíche
peaceful,pacífico
humanity,humanidade
prediction,predição
Roman,romano
ideology,ideologia
railroad,Ferrovia
possession,posse
horn,chifre
replacement,substituição
announcement,anúncio
pond,lago
forgive,perdoar
bishop,bispo
uncomfortable,desconfortável
rip,rasgar
random,aleatória
herb,erva
and/or,e/ou
dump,jogar fora
guilt,culpa
cattle,gado
strain,tensão
sheriff,xerife
behave,comporte-se
crystal,cristal
execute,executar
wrist,pulso
motive,motivo
painter,pintor
convict,condenar
simultaneously,simultaneamente
recession,recessão
await,aguardam
hallway,corredor
dose,dose
endure,aguentar
counseling,aconselhamento
suck,sugar
accommodate,acomodar
traditionally,tradicionalmente
spill,derramar
fiscal,fiscal
retired,aposentado
closed,fechado
gentle,□ Gentil
separation,separação
warrior,guerreiro
convinced,convencido
southwest,sudoeste
drunk,bêbado
outdoor,ar livre
tune,afinação
harm,prejuízo
cloth,pano
wherever,onde quer que
administer,administrador
supervisor,Supervisor
compromise,compromisso
grateful,grato
Hispanic,hispânico
mandate,mandato
alarm,alarme
cruise,cruzeiro
injure,ferir
sculpture,escultura
drain,ralo
temple,têmpora
dancer,dançarino
towel,toalha
Islam,islamismo
continuous,contínuo
govern,governo
crown,coroa
contractor,contratante
adolescent,adolescente
skirt,saia
bacteria,bactérias
adoption,adoção
intelligent,inteligente
praise,elogio
outer,exterior
grip,firmeza
profound,profundo
trigger,acionar
uncertainty,incerteza
driving,dirigindo
enthusiasm,entusiasmo
complexity,complexidade
cafe,cafeteria
virtual,virtual
undermine,minar
unity,unidade
chaos,caos
commonly,comumente
endless,sem fim
rhetoric,retórica
trait,característica
pension,pensão
genuine,genuíno
sweat,suor
innovation,inovação
currency,moeda
forty,quarenta
lobby,salão
theoretical,teórico
bat,bastão
makeup,Maquiagem
pleasant,prazeroso
rebuild,reconstruir
horrible,horrível
pad,almofada
suspend,suspender
relieve,aliviar
resume,retomar
respectively,respectivamente
promotion,promoção
technological,tecnológica
galaxy,galáxia
altogether,completamente
apologize,desculpar-se
infrastructure,a infraestrutura
shuttle,transporte
thumb,dedão
questionnaire,questionário
sidewalk,calçada
businessman,homem de negocios
weird,estranhas
radiation,radiação
format,formato
scare,susto
bounce,quicar
doll,boneca
attraction,atração
needle,agulha
counterpart,contrapartida
convey,comunicar
compensation,compensação
exclusive,exclusivo
twist,torção
precise,preciso
suspicion,suspeita
southeast,sudeste
walking,andando
boost,impulso
scatter,dispersão
rebel,rebelde
van,furgão
identical,idêntico
shame,vergonha
delicate,delicado
Olympics,Olimpíadas
wider,mais largo
corruption,corrupção
hook,gancho
lieutenant,tenente
firmly,firmemente
structural,estrutural
invisible,invisível
forehead,testa
traveler,viajante
meaningful,significativo
provided,forneceu
colony,colônia
signature,assinatura
database,base de dados
clerk,atendente
dedicate,dedicar
determination,determinação
anxious,ansioso
sum,soma
frozen,congeladas
juror,jurado
timing,cronometragem
punish,punir
crawl,engatinhar
conscious,consciente
colonel,coronel
fitness,ginástica
landing,pousar
doctrine,doutrina
belly,barriga
pope,papa
thereby,deste modo
historically,historicamente
playoff,Pague
poster,poster
acquisition,aquisição
rescue,resgate
departure,partida
summary,resumo
chronic,crônica
handsome,bonito
hug,abraço
wow,uau
pursuit,perseguir
residence,residência
loud,alto
promising,promissor
disk,disco
doorway,entrada
diagnosis,diagnóstico
scout,olheiro(a)
cancel,cancelar
amid,Entre
envelope,envelope
sooner,mais cedo
beam,feixe
reluctant,relutante
spouse,cônjuge
fluid,fluido
exit,saída
mild,suave
electrical,elétrico
bath,banho
decent,decente
ankle,tornozelo
transaction,transação
reporting,comunicando
pit,opor
practically,praticamente
oxygen,oxigênio
racism,racismo
fist,punho
garbage,lixo
guitar,violão
expertise,perícia
parade,parada
exploration,exploração
carve,esculpir
realm,reino
recipient,destinatário
residential,residencial
bias,tendência
sunlight,luz solar
lamp,lâmpada
donor,doador
repair,reparar
sharply,bruscamente
hers,dela
guidance,orientação
diplomatic,diplomático
purple,roxo
princess,Princesa
candle,vela
generous,generoso
necessity,necessidade
tuck,Tuck
statue,estátua
elevator,elevador
popularity,popularidade
indicator,indicador
entity,entidade
limb,membro
bold,negrito
hesitate,hesitar
starting,iniciando
diminish,diminuir
readily,prontamente
elegant,elegante
engagement,noivado
rage,fúria
destination,destino
realistic,realista
intent,intenção
metaphor,metáfora
automobile,automóvel
productive,produtivo
endorse,endossar
isolate,isolar
confess,confessar
wilderness,região selvagem
minimize,minimizar
diagnose,diagnosticar
happiness,felicidade
spectrum,espectro
hint,dica
eating,comendo
abstract,abstrato
revolutionary,revolucionário
gym,academia
disappointed,desapontado
particle,partícula
dynamic,dinâmico
automatically,automaticamente
dawn,alvorecer
ruling,governar
mechanical,mecânico
vitamin,Vitamina
silly,boba
artificial,artificial
outstanding,excepcional
peel,descasca
oral,oral
o'clock,O'Clock
undertake,empreender
lonely,sozinho
servant,servo
indigenous,indígena
civic,Civic
full-time,tempo total
cooperate,colaborar
casual,casual
behavioral,comportamental
shortage,falta
reception,recepção
offering,oferta
huh,Hã
credibility,credibilidade
chin,queixo
physics,física
vanish,desaparecer
blend,mistura
noon,meio-dia
precious,precioso
flip,virar
scary,apavorante
pizza,pizza
toilet,banheiro
silk,seda
bid,licitação
gathering,reunião
softly,suavemente
annually,anualmente
suffering,Sofrimento
accuracy,precisão
broker,corretor
hopefully,esperançosamente
descend,descer
tide,maré
stumble,tropeçar
verbal,verbal
collector,colecionador
judicial,judicial
burning,queimando
inventory,inventário
fool,idiota
loyalty,lealdade
performer,artista
kit,kit
romance,romance
quantity,quantidade
alleged,alegou
therapist,terapeuta
longtime,muito tempo
sentiment,sentimento
sodium,sódio
seal,selo
trailer,reboque
shared,compartilhado
equity,equidade
banking,bancário
ridiculous,ridículo
processing,em processamento
dilemma,dilema
quest,busca
pillow,travesseiro
lately,recentemente
laser,laser
rigid,rígido
ours,nosso
prohibit,proibir
genius,gênio
starter,iniciante
cart,carrinho
Cuban,cubano
inmate,preso
sacrifice,sacrifício
officially,oficialmente
slap,tapa
mysterious,misterioso
specialize,especializar
fork,garfo
invitation,convite
sail,velejar
regulatory,regulatório
cartoon,desenho animado
stiff,rígido
courtroom,Tribunal
import,importar
tightly,firmemente
equation,equação
treasure,tesouro
jaw,mandíbula
scan,Varredura
condemn,condenar
improved,melhorou
pickup,pegar
dignity,dignidade
inspiration,inspiração
automatic,automático
merchant,comerciante
Greek,grego
hostile,hostil
extended,estendido
homeland,terra natal
gasoline,Gasolina
gravity,gravidade
thoroughly,completamente
bow,arco
glory,glória
optimistic,otimista
sergeant,sargento
casualty,acidente
concede,conceder
bloody,sangrento
barn,celeiro
donate,doar
unite,unir
pro,pró
feedback,retorno
grief,pesar
spite,Despeito
steep,íngreme
productivity,produtividade
conceive,conceber
tender,macio
continent,continente
hardware,hardware
equip,equipar
wagon,vagão
output,resultado
withdrawal,cancelamento
elder,mais velho
cage,cela
coastal,costeiro
patience,paciência
shallow,raso
earthquake,terremoto
voting,votação
input,entrada
canvas,tela
click,clique
sword,espada
mate,amigo
portfolio,Portfólio
bug,incomodar
refrigerator,frigorífico
northeast,nordeste
seventh,sétimo
post,publicar
combined,combinado
alien,estrangeiro
willingness,disposição
hidden,escondido
accounting,contabilidade
sexually,sexualmente
chop,Picar
patrol,patrulha
symbolic,simbólico
ruin,ruína
drum,tambor
opposed,oposto
sheer,puro
ideological,ideológico
discourage,desencorajar
canal,canal
haul,transporte
protective,protetor
conspiracy,conspiração
steam,vapor
embassy,embaixada
tackle,enfrentar
tropical,tropical
instantly,imediatamente
bubble,bolha
calm,calma
sheep,ovelha
accent,sotaque
grasp,aperto
modify,modificar
grin,sorriso
toxic,tóxico
mixed,misturado
magnitude,magnitude
afterward,depois
progressive,progressivo
manipulate,manipular
vaccine,vacina
monument,monumento
verdict,veredito
flexible,flexível
declaration,declaração
costume,traje
drawer,gaveta
bless,abençoar
rack,prateleira
deeper,Deeper
neutral,neutro
fascinating,fascinante
terrific,formidável
sympathy,simpatia
spectacular,espetacular
ounce,onça
rear,traseira
inn,Pousada
collaboration,colaboração
clip,grampo
instruct,instruir
sock,meia
rider,cavaleiro
revelation,revelação
accomplishment,realização
faint,desmaiar
spell,soletrar
gospel,Evangelho
whale,baleia
